CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
1,Male,68,17,27.74,471.58,Month-to-Month,Credit Card,0
2,Female,57,52,21.21,1102.92,One Year,Electronic Check,0
3,Male,24,12,48.82,585.84,Month-to-Month,Mailed Check,0
4,Male,49,48,20.92,1004.16,One Year,Credit Card,0
5,Male,65,22,43.01,946.22,One Year,Credit Card,0
6,Female,36,49,61.95,3035.55,Month-to-Month,Credit Card,0
7,Male,23,52,32.14,1671.28,Month-to-Month,Electronic Check,0
8,Male,37,1,30.43,30.43,One Year,Electronic Check,0
9,Male,44,66,109.64,7236.24,Month-to-Month,Credit Card,1
10,Female,70,64,78.55,5027.2,Month-to-Month,Electronic Check,0
11,Male,60,8,113.45,907.6,One Year,Electronic Check,1
12,Male,54,25,54.58,1364.5,One Year,Credit Card,0
13,Male,65,66,87.71,5788.86,Month-to-Month,Credit Card,1
14,Male,24,70,40.47,2832.9,Two Year,Bank Transfer,0
15,Female,76,51,81.83,4173.33,One Year,Bank Transfer,0
16,Male,22,53,32.96,1746.88,Month-to-Month,Credit Card,0
17,Female,28,15,20.21,303.15,Month-to-Month,Mailed Check,1
18,Female,32,50,113.15,5657.5,One Year,Credit Card,1
19,Female,20,71,75.49,5359.79,Month-to-Month,Credit Card,0
20,Male,75,38,112.69,4282.22,Month-to-Month,Credit Card,0
21,Female,22,40,53.38,2135.2,One Year,Credit Card,0
22,Male,40,66,52.78,3483.48,One Year,Credit Card,0
23,Female,70,39,60.07,2342.73,One Year,Credit Card,0
24,Female,54,17,90.6,1540.2,One Year,Credit Card,0
25,Female,26,7,76.58,536.06,Month-to-Month,Credit Card,0
26,Female,32,39,112.54,4389.06,Month-to-Month,Bank Transfer,1
27,Female,20,68,22.54,1532.72,One Year,Bank Transfer,0
28,Female,46,35,90.82,3178.7,One Year,Bank Transfer,0
29,Female,23,51,53.03,2704.53,One Year,Mailed Check,0
30,Female,34,47,38.02,1786.94,Month-to-Month,Electronic Check,0
31,Male,43,36,71.04,2557.44,Two Year,Mailed Check,0
32,Male,38,64,70.51,4512.64,Month-to-Month,Mailed Check,0
33,Female,25,13,33.7,438.1,Month-to-Month,Credit Card,1
34,Female,38,18,40.19,723.42,Month-to-Month,Bank Transfer,0
35,Female,74,21,60.82,1277.22,Month-to-Month,Credit Card,0
36,Male,28,65,60.88,3957.2,One Year,Credit Card,0
37,Female,55,8,51.76,414.08,Month-to-Month,Bank Transfer,0
38,Male,25,48,34.85,1672.8,Month-to-Month,Credit Card,0
39,Male,59,43,20.44,878.92,Month-to-Month,Electronic Check,0
40,Male,41,53,117.02,6202.06,One Year,Electronic Check,0
41,Male,78,27,114.35,3087.45,Two Year,Mailed Check,0
42,Male,52,19,68.37,1299.03,One Year,Bank Transfer,0
43,Female,72,23,119.51,2748.73,Month-to-Month,Electronic Check,0
44,Female,31,50,87.37,4368.5,One Year,Mailed Check,0
45,Female,72,51,26.89,1371.39,Month-to-Month,Credit Card,0
46,Female,31,43,31.77,1366.11,Month-to-Month,Mailed Check,0
47,Female,27,51,111.61,5692.11,Two Year,Mailed Check,0
48,Male,29,69,83.01,5727.69,Month-to-Month,Electronic Check,1
49,Female,55,41,104.32,4277.12,Month-to-Month,Mailed Check,0
50,Female,61,72,109.83,7907.76,Month-to-Month,Bank Transfer,1
51,Male,72,11,64.79,712.69,Month-to-Month,Credit Card,1
52,Female,63,52,24.85,1292.2,Month-to-Month,Bank Transfer,1
53,Male,51,23,38.83,893.09,Month-to-Month,Credit Card,0
54,Female,58,49,26.66,1306.34,Month-to-Month,Bank Transfer,0
55,Male,27,38,38.87,1477.06,Two Year,Credit Card,0
56,Female,75,47,61.05,2869.35,One Year,Bank Transfer,0
57,Female,34,72,31.82,2291.04,Two Year,Credit Card,0
58,Male,34,7,36.67,256.69,One Year,Electronic Check,0
59,Male,20,66,64.58,4262.28,One Year,Mailed Check,0
60,Male,79,62,54.02,3349.24,Month-to-Month,Mailed Check,0
61,Male,48,29,66.77,1936.33,Month-to-Month,Mailed Check,0
62,Male,68,38,62.92,2390.96,One Year,Mailed Check,0
63,Male,18,33,84.45,2786.85,Month-to-Month,Credit Card,1
64,Male,29,29,113.72,3297.88,Month-to-Month,Bank Transfer,0
65,Male,56,23,30.79,708.17,Month-to-Month,Bank Transfer,0
66,Female,21,3,29.93,89.79,One Year,Electronic Check,0
67,Female,59,45,105.28,4737.6,Two Year,Mailed Check,0
68,Male,30,8,70.64,565.12,Month-to-Month,Mailed Check,1
69,Female,51,29,96.64,2802.56,One Year,Electronic Check,0
70,Female,59,2,41.54,83.08,Two Year,Mailed Check,0
71,Female,38,50,102.89,5144.5,Month-to-Month,Electronic Check,1
72,Female,39,65,112.38,7304.7,Month-to-Month,Mailed Check,1
73,Male,74,20,83.55,1671.0,Month-to-Month,Bank Transfer,0
74,Female,21,52,30.59,1590.68,Two Year,Electronic Check,0
75,Male,35,37,109.53,4052.61,Month-to-Month,Bank Transfer,1
76,Female,22,72,99.25,7146.0,Month-to-Month,Mailed Check,1
77,Female,36,27,95.09,2567.43,Month-to-Month,Bank Transfer,1
78,Female,19,47,23.67,1112.49,Two Year,Bank Transfer,0
