CustomerID,Age,Gender,Tenure,MonthlySpend,TotalSpend,NumTransactions,ProductCategory,PaymentMethod,CustomerSupportCalls,CLV,Churn
CUST00001,42,Male,36,61.14,1614.54,27,Books,Debit Card,2,2765.46,1
CUST00002,35,Male,3,44.08,120.24,3,Electronics,Bank Transfer,1,1423.45,0
CUST00003,18,Female,2,114.672,179.61,2,Sports,Credit Card,0,8119.22,1
CUST00004,38,Female,20,20.49,320.6,14,Electronics,Bank Transfer,1,681.06,1
CUST00005,48,Male,1,76.62,70.19,2,Sports,Debit Card,0,2300.27,1
CUST00006,41,Male,3,23.52,77.43,2,Electronics,Bank Transfer,0,1063.24,1
CUST00007,18,Female,28,110.34,2651.24,52,Books,Debit Card,4,4528.67,1
CUST00008,18,Female,53,58.428,2934.89,62,Electronics,Credit Card,4,3125.09,1
CUST00009,18,Male,7,53.088,289.07,4,Home & Garden,PayPal,1,2461.15,1
CUST00010,34,Male,7,77.844,445.38,12,Electronics,Credit Card,0,3164.19,1
CUST00011,36,Male,5,42.45,231.07,3,Clothing,Debit Card,0,2093.85,1
CUST00012,29,Female,4,86.52,288.78,10,Electronics,Debit Card,2,3954.95,1
CUST00013,18,Male,26,117.528,3021.43,54,Electronics,Debit Card,1,6647.47,0
CUST00014,49,Male,8,80.532,570.96,12,Sports,PayPal,1,3354.27,0
CUST00015,18,Male,20,35.74,614.3,17,Groceries,Debit Card,1,2200.69,1
CUST00016,33,Male,20,94.872,1431.01,27,Clothing,Credit Card,3,3272.11,0
CUST00017,18,Male,17,131.256,1925.94,41,Books,PayPal,5,7541.96,0
CUST00018,54,Female,1,107.388,75.52,2,Sports,Credit Card,0,3257.51,1
CUST00019,40,Male,17,21.32,336.58,5,Home & Garden,Debit Card,2,968.9,0
CUST00020,28,Male,6,23.7,167.52,0,Clothing,Credit Card,0,1065.39,0
CUST00021,37,Male,32,87.468,2827.46,45,Groceries,Credit Card,1,3781.46,0
CUST00022,30,Female,29,40.37,1062.13,23,Electronics,PayPal,3,1994.32,1
CUST00023,56,Female,16,26.63,508.48,15,Home & Garden,Bank Transfer,1,692.04,1
CUST00024,53,Male,44,28.63,1181.26,28,Books,Debit Card,4,718,1
CUST00025,34,Female,6,69.48,383.64,8,Books,Bank Transfer,0,2785.22,1
CUST00026,40,Male,72,61.56,4400.14,73,Electronics,Debit Card,6,2489.29,0
CUST00027,49,Male,29,50.73,1484.35,36,Clothing,Credit Card,2,1598.58,0
CUST00028,52,Male,57,43,2023.94,53,Home & Garden,PayPal,4,1461.69,0
CUST00029,58,Female,3,69.12,233.71,5,Sports,PayPal,0,1755.04,1
CUST00030,38,Male,7,65.928,366.45,9,Sports,Debit Card,0,2407.85,0
CUST00031,41,Female,10,32.45,299.83,13,Sports,PayPal,1,1303.45,1
CUST00032,33,Male,3,140.592,291.27,11,Books,Credit Card,2,6997.62,0
CUST00033,18,Male,33,85.632,2354.51,47,Clothing,Debit Card,3,4047.37,0
CUST00034,18,Male,23,47.22,817.69,13,Sports,PayPal,2,2774.34,0
CUST00035,38,Female,57,18.44,1074.26,24,Clothing,Debit Card,3,482.7,1
CUST00036,18,Male,6,40.4,251.3,5,Clothing,Bank Transfer,0,2034.04,0
CUST00037,22,Male,19,49.536,616.08,22,Clothing,Credit Card,1,2640.15,1
CUST00038,36,Male,60,175.752,8688.7,189,Books,Debit Card,5,6159.31,1
CUST00039,43,Female,33,63.79,1858.88,32,Home & Garden,PayPal,2,1577.11,1
CUST00040,24,Male,27,30.07,811.11,10,Clothing,Bank Transfer,2,2182,1
CUST00041,55,Female,6,28.37,134.81,1,Books,PayPal,0,706.09,1
CUST00042,46,Male,40,58.71,2178.36,50,Groceries,Debit Card,5,1783.5,0
CUST00043,62,Female,8,62.36,442.07,5,Home & Garden,PayPal,0,1182.65,0
CUST00044,47,Male,2,31.04,76.91,1,Books,PayPal,0,900.38,0
CUST00045,27,Male,32,29.34,1048.65,14,Books,Credit Card,5,1634.36,0
CUST00046,18,Male,23,39.576,582.11,16,Clothing,PayPal,0,2662.75,0
CUST00047,18,Male,23,134.1,2345.35,58,Home & Garden,PayPal,2,6373.55,1
CUST00048,47,Female,5,35.59,177.01,3,Books,Debit Card,0,1606.73,0
CUST00049,19,Female,30,290.16,7884.71,152,Groceries,Bank Transfer,1,18748.64,0
CUST00050,18,Male,8,138.432,993.16,13,Electronics,Bank Transfer,1,7456.25,0
CUST00051,25,Male,13,125.616,1385.89,36,Sports,Credit Card,2,5872.75,0
CUST00052,35,Female,22,113.232,2365.91,35,Clothing,Credit Card,0,3659.81,0
CUST00053,18,Male,14,13.57,185.02,2,Sports,Credit Card,2,588.3,0
CUST00054,30,Female,18,31.4,532.48,9,Groceries,Bank Transfer,2,1283.99,0
CUST00055,51,Male,1,44.82,43.68,1,Clothing,PayPal,0,1690.84,0
CUST00056,39,Male,33,48.07,1667.7,32,Home & Garden,Debit Card,2,1854.71,0
CUST00057,45,Male,21,31.05,704.95,18,Clothing,Bank Transfer,2,677.9,1
CUST00058,59,Male,12,33,372.08,12,Home & Garden,Credit Card,0,657.33,1
CUST00059,49,Male,71,45.58,3059.95,75,Sports,Bank Transfer,3,1525.83,1
CUST00060,18,Female,24,95.004,1701.68,47,Books,Bank Transfer,4,4690.38,1
CUST00061,62,Male,0,54.03,0,0,Home & Garden,Credit Card,0,1163.72,1
CUST00062,18,Female,13,28.8,388.25,5,Home & Garden,Credit Card,3,1743.03,1
CUST00063,34,Female,0,31.2,0,0,Groceries,Credit Card,0,999.16,1
CUST00064,18,Female,15,107.328,1171.47,25,Clothing,Credit Card,0,4071.15,1
CUST00065,44,Female,0,106.548,0,0,Groceries,Bank Transfer,0,2775.22,0
CUST00066,44,Male,4,108.564,400.43,10,Clothing,Debit Card,1,3335,0
CUST00067,18,Female,2,110.928,209.97,2,Groceries,PayPal,0,5319.36,0
CUST00068,48,Male,1,19.97,17.88,1,Electronics,Debit Card,0,802.22,0
CUST00069,48,Female,50,62.9,2800.82,55,Groceries,Bank Transfer,9,1058.05,0
CUST00070,21,Male,15,97.428,1313.64,28,Electronics,Credit Card,2,4357.02,1
CUST00071,49,Female,22,49.06,1068.8,20,Sports,Credit Card,1,1537.32,1
